60−7○4+3 = 52,2,,,
27÷3+6○2 = 13,2,,,
9×5−8○1 = 36,2,,,
22−9○4+2 = 11,2,,,
70−6○2×5 = 54,2,,,
10+3×6○2 = 26,2,,,
45○9−3+1 = 34,2,,,
33−6+5○2 = 30,2,,,
25−3○7+8 = 23,2,,,
16+4○3−2 = 15,2,,,
90÷10−2○3 = 4,2,,,
8×7○5−4 = 47,2,,,
42−3+5○2 = 42,2,,,
60○5×2−6 = 44,2,,,
19+6−3○2 = 20,2,,,
50−9○3+2 = 40,2,,,
21−5○4×2 = 8,2,,,
72÷8+3○1 = 11,2,,,
13×3−4○2 = 33,2,,,
10○6+7−2 = 9,2,,,
7+5○3−1 = 8,2,,,
40−6○2+4 = 36,2,,,
56÷7−3○1 = 4,2,,,
11×2−5○3 = 14,2,,,
33○8−4+3 = 24,2,,,
24−6+5○1 = 22,2,,,
17+4○2−1 = 18,2,,,
63÷9−2○1 = 4,2,,,
5×6−7○2 = 21,2,,,
39−9○4+2 = 28,2,,,
14−2○3×3 = 3,2,,,
28+6−5○2 = 27,2,,,
6×4○2−3 = 19,2,,,
30○10−5+4 = 19,2,,,
12−3+8○1 = 16,2,,,
42÷6−2○1 = 4,2,,,
13×2−4○3 = 19,2,,,
26−8○6+2 = 14,2,,,
15○5−3+1 = 8,2,,,
18−4+5○2 = 17,2,,,
60−12○2×3 = 42,2,,,
6○3+2−1 = 19,3,,,
4×5○2+3 = 43,3,,,
12÷3+4○2 = 12,3,,,
9−3+2○5 = 16,3,,,
7○4−6+2 = 24,3,,,
8×2○3+1 = 49,3,,,
30÷5○2+1 = 13,3,,,
5+6−2○4 = 3,3,,,
11−2+3○4 = 21,3,,,
6+4○2−3 = 11,3,,,
9○3+5−1 = 31,3,,,
7×6○2−2 = 82,3,,,
8−3+6○2 = 17,3,,,
16÷4+5○3 = 19,3,,,
3+9○2−1 = 20,3,,,
10−2○3+4 = 8,3,,,
14○3−5+1 = 38,3,,,
4+6○2−2 = 14,3,,,
7×2+3○1 = 17,3,,,
5○5+4−2 = 27,3,,,
18÷3+2○4 = 14,3,,,
9+2○6−1 = 20,3,,,
6○4−3+2 = 23,3,,,
3+5×2○1 = 13,3,,,
12○2+3−1 = 26,3,,,
8+3○2×4 = 32,3,,,
20÷5+6○2 = 16,3,,,
11−4+2○3 = 13,3,,,
7○3+5−2 = 24,3,,,
5×6−3○2 = 24,3,,,
13○2−4+1 = 23,3,,,
4+5○3−2 = 17,3,,,
9+6○2−1 = 20,3,,,
6○2+3−2 = 13,3,,,
8×3−5○2 = 14,3,,,
27÷3+2○1 = 11,3,,,
14○2+3−4 = 27,3,,,
5+4○2×3 = 29,3,,,
7○2−3+1 = 12,3,,,
15÷3+2○4 = 13,3,,,
9+5○2−1 = 18,3,,,
12○3−6+1 = 31,3,,,
6×5○2+3 = 63,3,,,
3+4○2×2 = 19,3,,,
10−3+6○2 = 19,3,,,
11○2−4+3 = 21,3,,,
4×4○3−2 = 46,3,,,
9○2+1−3 = 16,3,,,
16÷4+3○2 = 10,3,,,
7+2○3−1 = 12,3,,,
24○6+3×2 = 10,4,,,
36÷6+4○2 = 8,4,,,
45−9○3+5 = 47,4,,,
8+16○4−2 = 10,4,,,
12○3+6−1 = 9,4,,,
18÷3○2+4 = 7,4,,,
28−4+12○3 = 28,4,,,
30○5+2−3 = 5,4,,,
20÷4○5+1 = 2,4,,,
14+21○7−2 = 15,4,,,
60÷6−4○2 = 8,4,,,
16○2+3−1 = 10,4,,,
48÷8+3○1 = 9,4,,,
18+30○6−2 = 21,4,,,
72○9−3+2 = 7,4,,,
36÷6+5○1 = 11,4,,,
32○4+3−1 = 10,4,,,
40÷5○2+3 = 7,4,,,
10+27○9−4 = 9,4,,,
54÷6○3+1 = 4,4,,,
16○2+7−3 = 12,4,,,
63÷9+3○3 = 8,4,,,
24+36○6−8 = 22,4,,,
81○9+3−1 = 11,4,,,
60÷10+4○2 = 8,4,,,
30+15○5−3 = 30,4,,,
90÷9○2+1 = 6,4,,,
64÷8+4○2 = 10,4,,,
18○3+5−1 = 10,4,,,
35÷7○5+2 = 3,4,,,
80+16○8−7 = 75,4,,,
48÷4+2○1 = 14,4,,,
42○6−3+2 = 6,4,,,
20÷5○1+1 = 5,4,,,
24+12○4−2 = 25,4,,,
36÷6+2○1 = 8,4,,,
49○7+6−2 = 11,4,,,
16÷4+5○1 = 9,4,,,
45○5+3−4 = 8,4,,,
72÷9+1○1 = 9,4,,,
14+28○7−5 = 13,4,,,
30÷3○2+4 = 9,4,,,
63÷7+2○2 = 10,4,,,
27+18○6−2 = 28,4,,,
36÷6+3○1 = 9,4,,,
20+15○5−1 = 22,4,,,
48÷8○2+1 = 4,4,,,
56÷7+4○1 = 12,4,,,
33+18○6−3 = 33,4,,,
66÷6+3○1 = 14,4,,,
